Artificial objects count,,,Total mass (lb),Total mass (kg),,
=COUNTA(A5:A100),,,=SUM(D5:D100),=SUM(E5:E100),,
,,,,,,
Artificial object,Country,Year,Mass (lb),Mass (kg),Status,Location
Luna 2,Soviet Union,1959,860,390,Intentionally crashed,29.1°N 0°E
"Luna 2
Third stage of Vostok rocket",Soviet Union,1959,"20,100","9,100",Intentionally crashed,29.1°N 0°E
Ranger 4,United States,1962,730,331,Intentionally crashed,15.5°S 130.7°W
Ranger 6,United States,1964,840,381,Intentionally crashed,9.358°N 21.480°E
Ranger 7,United States,1964,805,365,Intentionally crashed,10.63°S 20.60°W
Luna 5,Soviet Union,1965,"3,250","1,474",Crashed,8°N 23°W
Luna 7,Soviet Union,1965,"3,316","1,504",Crashed,9.8°N 47.8°W
Luna 8,Soviet Union,1965,220,100,Crashed,9.1°N 63.3°W
Ranger 8,United States,1965,809,367,Intentionally crashed,2.638°N 24.787°E
Ranger 9,United States,1965,809,367,Intentionally crashed,12.828°S 2.387°W
Luna 9,Soviet Union,1966,220,100,Landed,7.08°N 64.37°W
Luna 10,Soviet Union,1966,"3,500","1,600","Crashed
(post-mission)",Unknown
Luna 11,Soviet Union,1966,"3,620","1,640",Crashed,Unknown
Luna 12,Soviet Union,1966,"3,680","1,670",Crashed,Unknown
Surveyor 1,United States,1966,600,270,Landed,2.474°S 43.339°W
Luna 13,Soviet Union,1966,"3,700","1,700",Landed,18.87°N 62.05°W
Lunar Orbiter 1,United States,1966,851,386,"Crashed
(post-mission)",6.70°N 162°E
Surveyor 2,United States,1966,644,292,Crashed,5.5°S 12°W
Lunar Orbiter 2,United States,1966,849,385,"Crashed
(post-mission)",3.0°N 119°E
Lunar Orbiter 3,United States,1966,851,386,"Crashed
(post-mission)",14.3°N 97.7°W
Surveyor 3,United States,1967,619,281,Landed,3.015°S 23.418°W
Lunar Orbiter 4,United States,1967,851,386,"Crashed
(post-mission)",Unknown
Surveyor 4,United States,1967,624,283,Crashed,0.4°N 1.33°W
Explorer 35,United States,1967,229,104,"Crashed
(post mission)",Unknown
Lunar Orbiter 5,United States,1967,851,386,"Crashed
(post-mission)",3°S 83°W
Surveyor 5,United States,1967,619,281,Landed,1.461°N 23.195°E
Surveyor 6,United States,1967,622,282,Landed,0.49°N 1.40°W
Surveyor 7,United States,1968,640,290,Landed,40.86°S 11.47°W
Luna 14,Soviet Union,1968,"3,680","1,670",Crashed,Unknown
"Apollo 10
LM-4 Snoopy descent stage",United States,1969,"4,874","2,211","Crashed
(post-mission)",Unknown
"Apollo 11
LM-5 Eagle descent stage",United States,1969,"4,484","2,034",Landed,0.6741°N 23.4730°E
Luna 15,Soviet Union,1969,"5,992","2,718",Crashed,Unknown
"Apollo 11
LM-5 Eagle ascent stage",United States,1969,"4,815","2,184","Crashed
(post-mission)",Unknown
"Apollo 12
LM-6 Intrepid descent stage",United States,1969,"4,874","2,211",Landed,3.0124°S 23.4216°W
"Apollo 12
LM-6 Intrepid ascent stage",United States,1969,"4,771","2,164","Crashed
(post-mission)",3.94°S 21.20°W
Luna 16 descent stage,Soviet Union,1970,"3,040","1,380",Landed,0.68°S 56.3°E
Luna 17 and Lunokhod 1,Soviet Union,1970,"12,300","5,600",Landed,38.28°N 35.0°W
"Apollo 13
S-IVB (S-IVB-508)",United States,1970,"29,661","13,454",Intentionally crashed,2.75°S 27.86°W
Luna 18,Soviet Union,1971,"4,140","1,880",Crashed,3.57°N 56.5°E
Luna 19,Soviet Union,1971,"4,140","1,880",Crashed,Unknown
"Apollo 14
S-IVB (S-IVB-509)",United States,1971,"30,900","14,016",Intentionally crashed,8.09°S 26.02°W
"Apollo 14
LM-8 Antares descent stage",United States,1971,"4,727","2,144",Landed,3.6453°S 17.4714°W
"Apollo 14
LM-8 Antares ascent stage",United States,1971,"4,705","2,132","Crashed
(post-mission)",3.42°S 19.67°W
